x,y







299,199
299,202
298,201
297,199
295,195
293,191
294,188
295,188
294,188
295,190
295,190
295,190
294,189
296,187
298,187
296,187
293,187
293,188
296,187
296,187
297,186
296,186
296,187
296,187
296,188
297,188
297,188
296,189
297,188
297,189
297,189
297,189
297,189
298,189
297,188
297,187
297,187
297,187
297,187
297,188
296,187
297,187
297,188
297,188
296,187
297,187
296,187
297,187
297,187
297,188
297,187
297,187
297,187
297,188
296,187
296,187
297,187
296,187
297,187
297,188
297,187
297,186
297,187
297,186
297,187
296,186
296,186
296,184
296,186
296,186
296,186
296,187
296,186
296,186
297,186
296,187
295,188
295,189
296,189
297,190
299,196
305,209
314,209
321,210
327,212
329,209
330,210
329,208
328,207
327,207
320,206
309,206
302,203
299,198
298,193
299,198
299,194
299,193
298,188
298,189
298,188
298,188
298,188
298,188
298,189
298,187
299,188
299,189
301,193
308,210
318,211
322,207
330,209
332,211
